chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples
1,2026-09-09T20:35:59.922468,Um and then also I noticed too that um,Um y también noté que um,,228.2,1736.0,0.0,2025.4,9690.5,7665.1,11.4,0.97,22.0,0.0,0.7,,4.93,,,,0.29,146.1,357.3,ct2-int8,0.25,8,35,176.65983299957588,1325.496208970435,410.5095000122674,stop,0,0.0,,2,en,es,replay,1,smart_cut,replay_realtime,5149.3,3110.6,11.6,1.1,5.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1536,238080,48000,238080,0
2,2026-09-09T20:36:05.471000,"that um when it comes to these two criminals, their their life started out","que um cuando se trata de estos dos criminales, su vida comenzó",,284.0,2123.4,0.0,2512.1,10696.2,8184.2,1.0,0.99,18.8,0.0,0.85,,5.18,,,,0.59,75.2,384.9,ct2-int8,0.625,15,41,181.37449998175725,1295.2882910030894,828.1588339596055,stop,0,0.0,,2,en,es,replay,2,smart_cut,replay_realtime,5513.8,3000.1,1.2,65.7,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,238080,486912,48000,486912,0
3,2026-09-09T20:36:10.739296,uh at least up until this moment their their lives souh uh ended the same but each one had a different destination.,uh al menos hasta este momento sus vidas uh terminaron igual pero cada uno tenía un destino diferente.,,273.7,2289.7,0.0,2591.6,10779.9,8188.2,0.9,0.98,21.3,0.0,0.85,,7.9,,,,0.63,67.8,420.1,ct2-int8,0.8,21,49,259.07833297969773,1268.9795829937793,1020.7035419880413,stop,0,0.0,,2,en,es,replay,3,smart_cut,replay_realtime,2878.1,283.9,1.1,0.1,2.2,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,486912,866304,48000,866304,0
4,2026-09-09T20:36:20.474694,Um and you can and we can see that uh one of them uh e th the the criminal on on the right even says uh this man has done nothing wrong.,Um y podemos y podemos ver que eh uno de ellos eh e el el criminal de la derecha incluso dice eh este hombre no ha hecho nada malo.,,2423.1,1916.2,0.0,4552.0,12612.3,8060.3,176.5,0.97,20.6,0.0,1.0,,8.0,,,,0.7,92.7,284.6,ct2-int8,0.769,31,59,152.64837502036244,377.75187502847984,1538.4947909624316,stop,0,0.0,,2,en,es,replay,4,hard_cut,replay_realtime,4613.5,59.5,176.7,0.8,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,866304,1250304,48000,1250304,0
5,2026-09-09T20:36:26.412957,And uh he knew that this man was was Christ. He knew that this man was there,Y eh él sabía que este hombre era Cristo. Sabía que este hombre estaba allí,,243.8,2118.9,0.0,2374.3,10297.4,7923.2,0.7,0.99,22.2,0.0,1.0,,6.46,,,,0.83,63.1,959.8,ct2-int8,0.875,18,44,162.3265840462409,1277.9689999879338,840.9464170108549,stop,0,0.0,,2,en,es,replay,5,smart_cut,replay_realtime,3959.7,1584.7,0.8,0.1,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1256448,1566720,48000,1566720,0
6,2026-09-09T20:36:33.752057,"to uh die for our sins, your s um uh my sins and your sins. And so tonight, uh one of these two criminals is","para morir por nuestros pecados, tus pecados y mis pecados. Y así esta noche, uno de estos dos criminales es",,1450.3,1609.0,0.0,3321.0,11298.0,7977.0,58.3,0.97,21.5,0.0,1.0,,7.81,,,Y,0.35,39.0,797.1,ct2-int8,0.875,25,54,200.8909999858588,415.920166997239,1193.1036250316538,stop,0,0.0,,2,en,es,replay,6,silence,replay_realtime,3938.8,615.3,64.1,180.6,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1566720,1941504,48000,1920000,0
7,2026-09-09T20:36:41.159283,currently in paradise and the other one is uh is in the pit. But let me ask you this.,actualmente en el paraíso y el otro está en el pozo. Pero déjame preguntarte esto.,,234.0,2433.4,0.0,2699.6,10656.1,7956.5,0.1,0.99,20.8,0.0,1.0,,5.79,,,Y,0.45,93.2,370.0,ct2-int8,0.571,24,47,186.29458302166313,1250.1771250390448,1183.2283329567872,stop,0,0.0,,2,en,es,replay,7,smart_cut,replay_realtime,4914.0,2213.2,0.2,17.1,1.0,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,1950720,2228736,48000,2228736,0
8,2026-09-09T20:36:47.178158,"even though these two criminal even though these two were both criminals, one of them is saved and one of them isn't.","aunque estos dos criminales, aunque ambos eran criminales, uno de ellos es salvado y uno de ellos no.",,346.2,2554.8,0.0,2916.7,10931.0,8014.3,0.3,0.98,20.3,0.0,0.85,,5.73,,,,0.73,74.0,400.9,ct2-int8,0.824,25,52,184.8136250046082,1290.7437079702504,1264.0574590186588,stop,0,0.0,,2,en,es,replay,8,smart_cut,replay_realtime,5204.9,2286.0,0.7,0.1,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2228736,2503680,48000,2503680,0
9,2026-09-09T20:36:51.882535,"But tonight are uh if you're not saved, uh which where w where will your destination be?","Pero esta noche, eh, si no estás salvado, eh, ¿cuál será tu destino?",,272.4,1525.1,0.0,1904.9,9907.8,8002.9,0.1,0.97,23.2,0.0,0.85,,6.75,,,Y,0.44,111.8,217.5,ct2-int8,0.5,22,47,203.01112497691065,547.2527499659918,977.8095000074245,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,3157.3,1250.8,0.2,0.0,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2503680,2827776,48000,2827776,0
10,2026-09-09T20:36:52.047334,"So well, one of them","Así que, uno de ellos",,274.8,58.0,0.0,1203.2,3322.0,2118.8,9.7,0.93,0.0,0.0,1.0,,2.08,,,,1.0,28.5,178.9,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,1690.1,486.7,63.6,806.4,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav,2827776,2927616,48000,2906112,0
