chunk_id	session	recorded_english	corrected_english	spanish_gemma	spanish_marian	corrected_spanish	stt_confidence	qe_a	review_priority	audio_path	correction_source
203	20260301_113532	Well...		Bueno...	Bueno,		0.1	1.0	9	stark_data/live_sessions/20260301_113532/chunk_0203.wav	
135	20260301_113532	And this is my head alarm.		Esta es mi alarma mental.	Y divisiones de mi cabeza.		0.38	1.0	6	stark_data/live_sessions/20260301_113532/chunk_0135.wav	
182	20260301_113532	O Lord, come back.		¡Oh, Señor, vuelve!			0.65	1.0	6	stark_data/live_sessions/20260301_113532/chunk_0182.wav	
144	20260301_120127	Some people today will use the expression that as a Christian, I'll lay your place before the Lord.		Algunas personas hoy en día utilizarán la expresión: “Como cristiano, yo les presentaré vuestras ofrendas al Señor.”	Algunas personas hoy en día usarán la expresión de que como cristiano, ya sabes, poner tu lugar ante el Señor. Y realmente, la forma más...		0.8	1.0	5	stark_data/live_sessions/20260301_120127/chunk_0144.wav	
216	20260301_113532	Always ask that we see it.		Por favor, solicitamos que podamos verlo.	Siempre pide que lo veamos.		0.4	1.0	5	stark_data/live_sessions/20260301_113532/chunk_0216.wav	
24	20260301_113532	No matter what you do, but...		Sin importar lo que hagas, pero…			0.05	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0024.wav	
48	20260301_113532	Daniel was a man prayer.		Daniel era un hombre que rezaba.	Ese nombre era un hombre.		0.56	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0048.wav	
49	20260301_113532	I was blanking.		No tenía ni idea.	Estaba en blanco.		0.35	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0049.wav	
138	20260301_113532	of things.		De cosas.	del día.		0.14	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0138.wav	
152	20260301_113532	I do.		Sí.	Y el carnero fue destruido.		0.3	0.7	4	stark_data/live_sessions/20260301_113532/chunk_0152.wav	
166	20260301_113532	In the first year of various Assetto-Mahatch years,		En el primer año de los diversos años de Assetto-Mahatch.	En el primer año de Darío, hijo de los Hatchier, por los San Amid, que fue hecho rey sobre el reino,		0.4	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0166.wav	
173	20260301_120127	Sagat Ruvan.		Sagat Ruvan.	Sermón al final.		0.06	1.0	4	stark_data/live_sessions/20260301_120127/chunk_0173.wav	
180	20260301_120127	And Gideon.		Gideón.	Y Gideon va a hacer eso, tiene miedo, así que lo hace, lo hace de noche cuando todos duermen y el pueblo duerme.		0.49	0.7	4	stark_data/live_sessions/20260301_120127/chunk_0180.wav	
247	20260301_113532	That was my end of Judah.		Esa fue la parte de Judá que me correspondía.	Ese fue mi fin de Judá.		0.05	0.85	4	stark_data/live_sessions/20260301_113532/chunk_0247.wav	
254	20260301_113532	Revelation 9 and verse 9. To the Lord our God belong mercy.		Revelación 9 y versículo 9. La misericordia pertenece a nuestro Señor.	Amén.		0.49	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0254.wav	
258	20260301_113532	On down in this prayer, verse 16, O Lord, according to all your righteous acts.		En esta oración, en el versículo 16, Señor, según todos tus justos actos.	Abajo en esta oración, versículo 16, Señor, de acuerdo a todos tus actos justos.		0.9	1.0	4	stark_data/live_sessions/20260301_113532/chunk_0258.wav	
267	20260301_120127	I think about...		Creo en… / Pienso en…	Pienso en...		0.42	1.0	4	stark_data/live_sessions/20260301_120127/chunk_0267.wav	
11	20260301_113532	Tremendous book and a tremendous subject. I'm not going to go into all the prophecy.		Libro excelente y tema excelente. No entraré en todos los detalles de las profecías.	No voy a entrar en toda la profecía.		0.91	1.0	3	stark_data/live_sessions/20260301_113532/chunk_0011.wav	
39	20260301_113532	Daniel Prugot.		Daniel Prugot.	Daniel Prugot.		0.43	1.0	3	stark_data/live_sessions/20260301_113532/chunk_0039.wav	
44	20260301_113532	And then Daniel prayed.		Entonces, Daniel oró.	Y luego Daniel oró.		0.67	1.0	3	stark_data/live_sessions/20260301_113532/chunk_0044.wav	
