author	death_year	pd_verdict	first_line	hymn_id	source_url
Isaac Watts	1748	public_domain	Alas! and did my Saviour bleed	pd-alas-and-did-my-saviour-bleed	https://hymnary.org/text/alas_and_did_my_savior_bleed
Isaac Watts	1748	public_domain	When I survey the wondrous cross	pd-when-i-survey-the-wondrous-cross	https://hymnary.org/text/when_i_survey_the_wondrous_cross_watts
William Cowper	1800	public_domain	There is a fountain filled with blood	pd-there-is-a-fountain-filled-with-blood	https://hymnary.org/text/there_is_a_fountain_filled_with_blood
John Newton	1807	public_domain	How sweet the Name of Jesus sounds	pd-how-sweet-the-name-of-jesus-sounds	https://hymnary.org/text/how_sweet_the_name_of_jesus_sounds
John Newton	1807	public_domain	Amazing grace! how sweet the sound	pd-amazing-grace	https://hymnary.org/text/amazing_grace_how_sweet_the_sound
Edward Perronet	1792	public_domain	All hail the power of Jesus' name	pd-all-hail-the-power-of-jesus-name	https://hymnary.org/text/all_hail_the_power_of_jesus_name
Reginald Heber	1826	public_domain	Holy, holy, holy! Lord God Almighty	pd-holy-holy-holy	https://hymnary.org/text/holy_holy_holy_lord_god_almighty
Henry Francis Lyte	1847	public_domain	Abide with me: fast falls the eventide	pd-abide-with-me	https://hymnary.org/text/abide_with_me_fast_falls_the_eventide
Augustus M. Toplady	1778	public_domain	Rock of Ages, cleft for me	pd-rock-of-ages	https://hymnary.org/text/rock_of_ages_cleft_for_me_let
Charlotte Elliott	1871	public_domain	Just as I am, without one plea	pd-just-as-i-am	https://hymnary.org/text/just_as_i_am_without_one_plea
John G. Foote	1902	public_domain	Christ our Redeemer died on the cross	pd-when-i-see-the-blood	https://hymnary.org/text/christ_our_redeemer_died_on_the_cross
Augustus M. Toplady	1778	public_domain	A debtor to mercy alone	pd-a-debtor-to-mercy-alone	https://hymnary.org/text/a_debtor_to_mercy_alone
Catesby Paget	1878	public_domain	A mind at perfect peace with God	pd-a-mind-at-perfect-peace	https://hymnary.org/text/a_mind_at_perfect_peace_with_god
James Montgomery	1854	public_domain	According to Thy gracious word	pd-according-to-thy-gracious-word	https://hymnary.org/text/according_to_thy_gracious_word
