chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path
1,2026-09-09T20:25:21.993503,Um and then also I noticed too that um,Um y también noté que um,,160.2,1472.2,0.0,1638.9,9374.3,7735.3,0.1,0.97,37.6,0.0,0.7,,4.93,,,,0.29,84.5,182.5,ct2-int8,0.25,8,35,143.70804105419666,1239.0311249764636,233.13216702081263,stop,0,0.0,,2,en,es,replay,1,smart_cut,replay_realtime,4722.4,3082.8,0.2,0.1,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
2,2026-09-09T20:25:27.096760,"that um when it comes to these two criminals, their their life started out","que um cuando se trata de estos dos criminales, su vida comenzó",,211.1,1557.3,0.0,1811.3,9824.3,8013.0,1.2,0.99,34.8,0.0,0.85,,5.18,,,,0.59,65.8,1146.8,ct2-int8,0.625,15,41,143.10516702244058,1106.0125000076368,451.25029201153666,stop,0,0.0,,2,en,es,replay,2,smart_cut,replay_realtime,4641.7,2829.0,1.3,37.3,1.4,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
3,2026-09-09T20:25:32.542023,uh at least up until this moment their their lives souh uh ended the same but each one had a different destination.,uh al menos hasta este momento sus vidas uh terminaron igual pero cada uno tenía un destino diferente.,,186.9,1868.9,0.0,2065.7,10084.4,8018.7,0.1,0.98,29.6,0.0,0.85,,7.9,,,,0.63,57.8,1258.1,ct2-int8,0.8,21,49,181.4327079919167,1136.674250010401,732.1982079884037,stop,0,0.0,,2,en,es,replay,3,smart_cut,replay_realtime,2183.1,114.6,0.3,0.1,2.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
4,2026-09-09T20:25:41.277538,Um and you can and we can see that uh one of them uh e th the the criminal on on the right even says uh this man has done nothing wrong.,Um y podemos y podemos ver que eh uno de ellos eh e el el criminal de la derecha incluso dice eh este hombre no ha hecho nada malo.,,1357.4,1481.3,0.0,2908.2,10917.7,8009.6,54.3,0.97,26.9,0.0,1.0,,8.0,,,,0.7,77.6,235.4,ct2-int8,0.769,31,59,119.58883400075138,302.09683295106515,1179.2016250547022,stop,0,0.0,,2,en,es,replay,4,hard_cut,replay_realtime,2918.8,9.5,54.4,0.1,1.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
5,2026-09-09T20:25:48.546987,And uh he knew that this man was was Christ. He knew that this man was there,Y eh él sabía que este hombre era Cristo. Sabía que este hombre estaba allí,,211.9,1824.0,0.0,2046.9,10018.6,7971.7,0.1,0.99,26.8,0.0,1.0,,6.46,,,,0.73,37.7,145.4,ct2-int8,1.0,18,44,180.62516598729417,1128.850875014905,695.1333750039339,stop,0,0.0,,2,en,es,replay,5,smart_cut,replay_realtime,3596.5,1549.0,0.2,0.0,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
6,2026-09-09T20:25:55.044300,"to uh die for our sins, your s um uh my sins and your sins. And so tonight, uh one of these two criminals is","para morir por nuestros pecados, tus pecados y mis pecados. Y así esta noche, uno de estos dos criminales es",,1039.0,1186.5,0.0,2247.7,10093.1,7845.4,9.6,0.97,29.2,0.0,1.0,,7.81,,,Y,0.4,37.4,713.7,ct2-int8,0.889,25,54,114.47804199997336,304.8141659819521,881.6625840263441,stop,0,0.0,,2,en,es,replay,6,silence,replay_realtime,2733.9,485.3,9.8,0.1,0.8,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
7,2026-09-09T20:26:03.190145,currently in paradise and the other one is uh is in the pit. But let me ask you this.,actualmente en el paraíso y el otro está en el pozo. Pero déjame preguntarte esto.,,205.8,2010.8,0.0,2227.8,9580.9,7353.1,0.1,0.99,27.7,0.0,1.0,,5.79,,,Y,0.45,115.9,205.0,ct2-int8,0.571,24,47,184.8542089574039,1116.3665839703754,894.4063750095665,stop,0,0.0,,2,en,es,replay,7,smart_cut,replay_realtime,4448.0,2219.2,0.2,0.1,0.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
8,2026-09-09T20:26:08.927968,"even though these two criminal even though these two were both criminals, one of them is saved and one of them isn't.","aunque estos dos criminales, aunque ambos eran criminales, uno de ellos es salvado y uno de ellos no.",,330.4,1845.4,0.0,2182.1,10184.1,8002.0,0.0,0.98,30.6,0.0,0.85,,5.73,,,,0.56,69.8,759.1,ct2-int8,0.684,25,52,176.44404200837016,998.8606250262819,846.547124965582,stop,0,0.0,,2,en,es,replay,8,smart_cut,replay_realtime,4457.9,2274.0,0.1,0.6,1.9,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
9,2026-09-09T20:26:14.522023,"But tonight are uh if you're not saved, uh which where w where will your destination be?","Pero esta noche, eh, si no estás salvado, eh, ¿cuál será tu destino?",,307.8,1604.8,0.0,2038.0,10050.6,8012.5,0.1,0.97,31.3,0.0,0.85,,6.75,,,Y,0.53,90.0,439.8,ct2-int8,0.562,22,47,175.24529196089134,875.4402920021676,729.3124160496518,stop,0,0.0,,2,en,es,replay,9,smart_cut,replay_realtime,3300.1,1260.5,0.2,0.0,1.5,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
10,2026-09-09T20:26:14.643983,"So well, one of them","Así que, uno de ellos",,212.1,121.3,0.0,1128.8,3422.0,2293.2,8.0,0.93,0.0,0.0,1.0,,2.08,,,,1.0,25.9,106.7,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,1790.0,661.1,203.2,591.9,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/stark_data/replay/Gospel_Message_(12_14_25)_5D2rOMvkwrk.wav
