chunk_id,timestamp,english,spanish_a,spanish_b,stt_latency_ms,latency_a_ms,latency_b_ms,e2e_latency_ms,true_e2e_ms,silence_delay_ms,queue_wait_ms,stt_confidence,tps_a,tps_b,qe_a,qe_b,utterance_dur,homophone_flags,near_miss_flags,bad_split,marian_similarity,marian_pt_ms,partial_stt_ms,marian_backend,word_stability_pct,gen_tokens_a,prompt_tokens_a,prefill_ms_a,ttft_ms_a,decode_ms_a,finish_reason_a,draft_tokens_a,draft_accept_a,speaker,timing_schema_version,source_lang,target_lang,session_kind,utterance_id,endpoint_reason,timing_source,speech_end_to_final_ms,vad_wait_ms,stt_queue_wait_ms,translation_queue_wait_ms,finalization_overhead_ms,broadcast_ms,input_audio_path,sample_start,sample_end,sample_rate,speech_end_sample,padding_samples,cached_prompt_tokens_a,prompt_cache_prepare_ms_a,generation_lock_wait_ms_a,prompt_cache_hit_a,caption_delivery_mode
1,2026-09-11T14:35:39.705507,Thank you all for coming out uh this evening and I know it's a bit cold out there so um,"Gracias a todos por venir esta noche y sé que hace un poco de frío ahí fuera, así que",,203.2,1531.2,0.0,1737.7,9708.0,7970.3,0.1,0.99,20.4,0.0,1.0,,5.41,,,,0.72,135.1,174.1,ct2-int8,0.704,21,48,164.54408300342038,472.205332996964,1059.0144590023556,stop,0,0.0,,2,en,es,replay,1,smart_cut,replay_realtime,4338.3,2599.4,0.3,0.1,1.2,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,242688,502272,48000,502272,0,,,0.01204099680762738,,awaited
2,2026-09-11T14:35:45.387824,For our first hymn we will sing uh hymn number thirty six.,Para nuestro primer himno cantaremos el himno número treinta y seis.,,217.1,1789.1,0.0,2016.0,10019.7,8003.7,0.2,0.99,23.0,0.0,1.0,,4.13,,,,0.5,113.1,880.2,ct2-int8,0.417,16,39,172.26391700387467,1066.732957995555,722.3877090000315,stop,0,0.0,,2,en,es,replay,2,smart_cut,replay_realtime,5892.6,3875.6,0.4,0.1,0.9,0.1,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,502272,700416,48000,700416,0,,,0.03216700133634731,,awaited
3,2026-09-11T14:35:49.500058,"Hymn number thirty six Eternity Time will soon end, its fleeting moments pass away. O sinners say where wilt thou spend eternity?","Himno número treinta y seis La eternidad pronto terminará, sus momentos fugaces pasan. ¡Oh pecadores, digan dónde pasaréis la eternidad!",,474.4,1503.9,0.0,1995.6,10002.4,8006.8,14.3,0.98,28.8,0.0,1.0,,8.0,,eternity->trinity|eternity->trinity,,0.54,131.1,193.5,ct2-int8,0.667,34,53,161.0507079967647,301.3429580023512,1202.533042000141,stop,0,0.0,,2,en,es,replay,3,hard_cut,replay_realtime,2004.8,6.6,14.5,0.0,2.5,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,700416,1084416,48000,1084416,0,,,0.008957998943515122,,awaited
4,2026-09-11T14:35:57.547844,Etern uh where wilt thou spend eternity's unchanging day? Shalt thou the hopeless horror see of hell for all eternity?,"Eterno, ¿dónde pasarás el día inmutable de la eternidad? ¿Verás el horror desesperado del infierno por toda la eternidad?",,277.7,1733.9,0.0,2014.0,9725.7,7711.7,0.2,0.97,30.0,0.0,1.0,,7.49,,eternity->trinity,,0.55,90.7,180.0,ct2-int8,0.667,35,52,180.50058399967384,541.5222910014563,1192.3807920029503,stop,0,0.0,,2,en,es,replay,4,smart_cut,replay_realtime,2532.6,515.8,0.3,0.0,2.7,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,1085952,1445376,48000,1445376,0,,,0.009415998647455126,,awaited
5,2026-09-11T14:35:57.771836,Um hymn number thirty six.,Um himno número treinta y seis.,,238.3,94.4,0.0,925.8,2756.1,1830.3,4.2,0.97,0.0,0.0,1.0,,1.79,,,,1.0,31.9,221.4,ct2-int8,1.0,,,,,,,,,,2,en,es,replay,5,silence,replay_realtime,1412.6,486.3,4.3,547.4,0.5,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,1445376,1531392,48000,1509888,0,,,,,awaited
6,2026-09-11T14:35:59.795532,Eternity.,Eternidad.,,368.7,20.2,0.0,391.5,2757.7,2366.2,1.2,0.88,0.0,0.0,1.0,,2.37,,eternity->trinity,,0.0,10.1,96.4,ct2-int8,0.0,,,,,,,,,,2,en,es,replay,6,silence,replay_realtime,876.3,484.4,1.3,0.0,0.3,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,1540608,1654272,48000,1632768,0,,,,,awaited
7,2026-09-11T14:36:02.587301,It dies a,Muere a,,389.8,354.5,0.0,815.7,2847.2,2031.5,1.1,0.68,42.2,0.0,0.85,,2.3,,,Y,0.0,18.4,113.6,ct2-int8,0.0,4,29,88.66508299979614,237.82212500373134,116.6986669995822,stop,0,0.0,,2,en,es,replay,7,silence,replay_realtime,1300.1,484.2,1.2,0.1,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,1657344,1767936,48000,1746432,0,,,67.9578329945798,,awaited
9,2026-09-11T14:36:09.586202,"Yeah,",Sí.,,346.1,11.2,0.0,358.1,1092.3,734.2,0.4,0.85,0.0,0.0,0.7,,0.74,,,,0.5,24.5,83.0,ct2-int8,0.5,,,,,,,,,,2,en,es,replay,10,silence,replay_realtime,843.0,484.8,0.4,0.0,0.0,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,2090496,2125824,48000,2104320,0,,,,,awaited
10,2026-09-11T14:36:11.086868,Yeah.,Sí.,,275.8,316.5,0.0,674.8,1545.4,870.6,0.6,0.79,48.7,0.0,0.7,,0.99,,,,1.0,14.9,88.1,ct2-int8,1.0,3,28,89.84808300010627,233.41816599713638,83.10758400330087,stop,0,0.0,,2,en,es,replay,11,silence,replay_realtime,1159.6,484.8,0.8,0.0,0.0,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,2135040,2182656,48000,2161152,0,,,80.54616700246697,,awaited
11,2026-09-11T14:36:12.195342,Uh,Uh,,286.2,293.7,0.0,658.4,1537.1,878.7,1.1,0.79,65.5,0.0,1.0,,0.99,,,,0.0,9.2,80.9,ct2-int8,0.0,2,27,89.9872919981135,242.0532500036643,51.617916993563995,stop,0,0.0,,2,en,es,replay,12,silence,replay_realtime,1148.1,489.6,1.4,0.0,0.1,0.0,/Users/willem/Code/vibes/SRTranslate/.cache/overnight-20260910/endurance-preparation/hymn-transition-400-750.wav,2188800,2236416,48000,2214912,0,,,76.24300000315998,,awaited
